"kodesatker","Satuan Kerja BPS","IMKB Pegawai"
"1","BPS Badan Pusat Statistik RI","70.21"
"1107","BPS Kab. Aceh Barat","59.31"
"1102","BPS Kab. Aceh Singkil","76.91"
"1104","BPS Kab. Aceh Tenggara","67.31"
"1105","BPS Kab. Aceh Timur","75.22"
"5307","BPS Kab. Alor","65.30"
"1208","BPS Kab. Asahan","67.62"
"9415","BPS Kab. Asmat","64.80"
"5103","BPS Kab. Badung","75.20"
"3204","BPS Kab. Bandung","60.94"
"3526","BPS Kab. Bangkalan","71.54"
"6303","BPS Kab. Banjar","73.38"
"7303","BPS Kab. Bantaeng","68.85"
"6304","BPS Kab. Barito Kuala","68.42"
"6204","BPS Kab. Barito Selatan","80.58"
"6212","BPS Kab. Barito Timur","76.21"
"6205","BPS Kab. Barito Utara","72.50"
"7310","BPS Kab. Barru","70.97"
"1504","BPS Kab. Batang Hari","82.45"
"1906","BPS Kab. Belitung Timur","73.73"
"5306","BPS Kab. Belu","69.58"
"1408","BPS Kab. Bengkalis","78.94"
"1701","BPS Kab. Bengkulu Selatan","61.13"
"6405","BPS Kab. Berau","76.70"
"5206","BPS Kab. Bima","66.47"
"1110","BPS Kab. Bireuen","66.04"
"3316","BPS Kab. Blora","82.29"
"3522","BPS Kab. Bojonegoro","75.96"
"3329","BPS Kab. Brebes","74.87"
"7302","BPS Kab. Bulukumba","77.66"
"6502","BPS Kab. Bulungan","74.84"
"8104","BPS Kab. Buru","78.70"
"8109","BPS Kab. Buru Selatan","74.47"
"3207","BPS Kab. Ciamis","73.39"
"3203","BPS Kab. Cianjur","74.07"
"3301","BPS Kab. Cilacap","76.39"
"3209","BPS Kab. Cirebon","76.84"
"1212","BPS Kab. Deli Serdang","67.04"
"3321","BPS Kab. Demak","73.31"
"1311","BPS Kab. Dharmasraya","75.17"
"3205","BPS Kab. Garut","71.61"
"7502","BPS Kab. Gorontalo","76.28"
"3525","BPS Kab. Gresik","71.84"
"3315","BPS Kab. Grobogan","75.28"
"6211","BPS Kab. Gunung Mas","70.37"
"8202","BPS Kab. Halmahera Tengah","78.60"
"8206","BPS Kab. Halmahera Timur","80.62"
"6306","BPS Kab. Hulu Sungai Selatan","71.40"
"6307","BPS Kab. Hulu Sungai Tengah","73.75"
"6308","BPS Kab. Hulu Sungai Utara","70.12"
"1215","BPS Kab. Humbang Hasundutan","68.26"
"1403","BPS Kab. Indragiri Hilir","62.88"
"1402","BPS Kab. Indragiri Hulu","62.27"
"3212","BPS Kab. Indramayu","78.79"
"9402","BPS Kab. Jayawijaya","68.44"
"3509","BPS Kab. Jember","64.94"
"3517","BPS Kab. Jombang","70.28"
"1406","BPS Kab. Kampar","76.66"
"6203","BPS Kab. Kapuas","75.81"
"6108","BPS Kab. Kapuas Hulu","73.33"
"3215","BPS Kab. Karawang","76.82"
"6209","BPS Kab. Katingan","76.95"
"3305","BPS Kab. Kebumen","76.91"
"3506","BPS Kab. Kediri","76.43"
"3324","BPS Kab. Kendal","74.67"
"1410","BPS Kab. Kepulauan Meranti","73.27"
"7301","BPS Kab. Kepulauan Selayar","76.66"
"7108","BPS Kab. Kepulauan Sitaro","71.99"
"6106","BPS Kab. Ketapang","75.47"
"3310","BPS Kab. Klaten","68.92"
"7404","BPS Kab. Kolaka","76.35"
"7403","BPS Kab. Konawe","68.74"
"6302","BPS Kab. Kota Baru","79.31"
"6202","BPS Kab. Kotawaringin Timur","74.90"
"1401","BPS Kab. Kuantan Singingi","79.06"
"6112","BPS Kab. Kubu Raya","74.15"
"3319","BPS Kab. Kudus","67.97"
"3401","BPS Kab. Kulon Progo","67.30"
"3208","BPS Kab. Kuningan","82.16"
"5303","BPS Kab. Kupang","74.69"
"6402","BPS Kab. Kutai Barat","69.44"
"6403","BPS Kab. Kutai Kartanegara","72.13"
"1207","BPS Kab. Labuhan Batu","69.14"
"1222","BPS Kab. Labuhan Batu Selatan","60.95"
"1223","BPS Kab. Labuhan Batu Utara","72.93"
"3524","BPS Kab. Lamongan","69.87"
"6103","BPS Kab. Landak","71.67"
"1213","BPS Kab. Langkat","60.15"
"2104","BPS Kab. Lingga","68.51"
"5201","BPS Kab. Lombok Barat","69.93"
"3508","BPS Kab. Lumajang","73.87"
"7317","BPS Kab. Luwu","72.84"
"3519","BPS Kab. Madiun","74.93"
"3210","BPS Kab. Majalengka","78.09"
"3507","BPS Kab. Malang","78.40"
"6501","BPS Kab. Malinau","69.34"
"8108","BPS Kab. Maluku Barat Daya","65.77"
"7308","BPS Kab. Maros","76.46"
"6104","BPS Kab. Mempawah","71.22"
"9401","BPS Kab. Merauke","75.50"
"9412","BPS Kab. Mimika","75.55"
"7102","BPS Kab. Minahasa","65.85"
"3516","BPS Kab. Mojokerto","68.59"
"1706","BPS Kab. Mukomuko","71.15"
"6213","BPS Kab. Murung Raya","75.05"
"1606","BPS Kab. Musi Banyuasin","76.51"
"9404","BPS Kab. Nabire","76.97"
"1115","BPS Kab. Nagan Raya","73.40"
"2103","BPS Kab. Natuna","71.77"
"3518","BPS Kab. Nganjuk","77.00"
"1610","BPS Kab. Ogan Ilir","63.15"
"1602","BPS Kab. Ogan Komering Ilir","75.23"
"1601","BPS Kab. Ogan Komering Ulu","72.70"
"3501","BPS Kab. Pacitan","78.26"
"1306","BPS Kab. Padang Pariaman","69.29"
"7309","BPS Kab. Pangkajene Kepulauan","64.87"
"7605","BPS Kab. Pasangkayu","71.00"
"6401","BPS Kab. Paser","62.29"
"3514","BPS Kab. Pasuruan","67.60"
"3318","BPS Kab. Pati","72.37"
"3326","BPS Kab. Pekalongan","79.89"
"3327","BPS Kab. Pemalang","75.89"
"1109","BPS Kab. Pidie","72.57"
"1118","BPS Kab. Pidie Jaya","78.48"
"7315","BPS Kab. Pinrang","73.19"
"7602","BPS Kab. Polewali Mandar","72.43"
"3502","BPS Kab. Ponorogo","58.64"
"7204","BPS Kab. Poso","68.78"
"1810","BPS Kab. Pringsewu","74.41"
"3513","BPS Kab. Probolinggo","65.22"
"6210","BPS Kab. Pulang Pisau","76.82"
"3303","BPS Kab. Purbalingga","75.60"
"3317","BPS Kab. Rembang","77.10"
"5314","BPS Kab. Rote Ndao","75.47"
"6101","BPS Kab. Sambas","73.71"
"3527","BPS Kab. Sampang","69.52"
"8107","BPS Kab. Seram Bagian Timur","75.73"
"6208","BPS Kab. Seruyan","69.36"
"7314","BPS Kab. Sidenreng Rappang","73.95"
"3515","BPS Kab. Sidoarjo","68.62"
"7210","BPS Kab. Sigi","69.33"
"1304","BPS Kab. Sijunjung","72.93"
"7307","BPS Kab. Sinjai","64.82"
"6107","BPS Kab. Sintang","73.14"
"3512","BPS Kab. Situbondo","73.94"
"9107","BPS Kab. Sorong","70.31"
"3314","BPS Kab. Sragen","76.47"
"3213","BPS Kab. Subang","77.40"
"3202","BPS Kab. Sukabumi","74.07"
"6206","BPS Kab. Sukamara","73.23"
"3311","BPS Kab. Sukoharjo","74.96"
"5317","BPS Kab. Sumba Barat Daya","78.20"
"5302","BPS Kab. Sumba Timur","77.24"
"5207","BPS Kab. Sumbawa Barat","68.49"
"6309","BPS Kab. Tabalong","78.13"
"7305","BPS Kab. Takalar","74.66"
"6503","BPS Kab. Tana Tidung","77.92"
"6301","BPS Kab. Tanah Laut","79.73"
"1507","BPS Kab. Tanjung Jabung Barat","68.81"
"1204","BPS Kab. Tapanuli Tengah","60.85"
"1205","BPS Kab. Tapanuli Utara","72.82"
"6305","BPS Kab. Tapin","75.43"
"3206","BPS Kab. Tasikmalaya","78.05"
"3328","BPS Kab. Tegal","71.83"
"1206","BPS Kab. Toba Samosir","65.26"
"7206","BPS Kab. Toli-Toli","64.34"
"7326","BPS Kab. Toraja Utara","74.71"
"3503","BPS Kab. Trenggalek","63.01"
"1812","BPS Kab. Tulang Bawang Barat","75.44"
"3504","BPS Kab. Tulungagung","74.41"
"7407","BPS Kab. Wakatobi","79.59"
"1171","BPS Kota Banda Aceh","72.21"
"3273","BPS Kota Bandung","79.13"
"6371","BPS Kota Banjarmasin","71.77"
"3275","BPS Kota Bekasi","76.01"
"1276","BPS Kota Binjai","69.85"
"7172","BPS Kota Bitung","69.24"
"6474","BPS Kota Bontang","68.23"
"3672","BPS Kota Cilegon","69.69"
"3274","BPS Kota Cirebon","69.13"
"3172","BPS Kota Jakarta Timur","74.09"
"3175","BPS Kota Jakarta Utara","67.69"
"1571","BPS Kota Jambi","69.39"
"3571","BPS Kota Kediri","73.74"
"1173","BPS Kota Langsa","69.72"
"1174","BPS Kota Lhokseumawe","72.80"
"3577","BPS Kota Madiun","81.11"
"7371","BPS Kota Makassar","71.98"
"3573","BPS Kota Malang","61.52"
"5271","BPS Kota Mataram","68.93"
"1275","BPS Kota Medan","69.94"
"3576","BPS Kota Mojokerto","63.05"
"6271","BPS Kota Palangka Raya","69.55"
"1671","BPS Kota Palembang","67.33"
"7373","BPS Kota Palopo","73.55"
"3575","BPS Kota Pasuruan","63.39"
"1376","BPS Kota Payakumbuh","57.95"
"3375","BPS Kota Pekalongan","61.67"
"6171","BPS Kota Pontianak","74.22"
"3574","BPS Kota Probolinggo","66.57"
"6472","BPS Kota Samarinda","66.14"
"3374","BPS Kota Semarang","67.89"
"3673","BPS Kota Serang","69.73"
"6172","BPS Kota Singkawang","63.91"
"9171","BPS Kota Sorong","69.85"
"3578","BPS Kota Surabaya","73.41"
"3372","BPS Kota Surakarta","61.64"
"3671","BPS Kota Tangerang","73.76"
"1272","BPS Kota Tanjung Balai","65.04"
"2172","BPS Kota Tanjungpinang","84.50"
"6571","BPS Kota Tarakan","74.35"
"1274","BPS Kota Tebing Tinggi","74.27"
"3376","BPS Kota Tegal","68.26"
"1100","BPS Provinsi Aceh","70.16"
"5100","BPS Provinsi Bali","72.09"
"3100","BPS Provinsi DKI Jakarta","71.19"
"7500","BPS Provinsi Gorontalo","72.55"
"3200","BPS Provinsi Jawa Barat","78.32"
"3500","BPS Provinsi Jawa Timur","70.77"
"6100","BPS Provinsi Kalimantan Barat","69.57"
"6300","BPS Provinsi Kalimantan Selatan","74.28"
"6200","BPS Provinsi Kalimantan Tengah","69.56"
"6400","BPS Provinsi Kalimantan Timur","76.90"
"6500","BPS Provinsi Kalimantan Utara","73.46"
"5200","BPS Provinsi Nusa Tenggara Barat","69.86"
"1400","BPS Provinsi Riau","70.78"
"7300","BPS Provinsi Sulawesi Selatan","68.60"
"1300","BPS Provinsi Sumatera Barat","69.60"
"1200","BPS Provinsi Sumatera Utara","72.33"
